Neuron name (Baker et al 2022),Cell type (Baker et al 2022),Neuron name (Lockwood et al),Cell type (Lockwood et al),Coordinates ,Codex June 2024,HB type,FAFB NT,BANC NT,NT2026 (FAFB and BANC),JOA (L+R) influence score,JOB (L+R) influence score,JOA L influence,JOB L influence
,,JO-B_R46,JO-B,,720575940632618700,,,,Ach,,,,
,,JO-B_R47,JO-B,,720575940617457881,,,,Ach,,,,
,,JO-B_R48,JO-B,,720575940612956378,,,,Ach,,,,
,,JO-B_R49,JO-B,,720575940633524443,,,,Ach,,,,
,,JO-B_R50,JO-B,,720575940633301217,,,,Ach,,,,
,,JO-B_R51,JO-B,,720575940623805159,,,,Ach,,,,
,,JO-B_R52,JO-B,,720575940629860089,,,,Ach,,,,
,,JO-B_R53,JO-B,,720575940630916347,,,,Ach,,,,
,,JO-B_R54,JO-B,,720575940613622014,,,,Ach,,,,
,,JO-B_R55,JO-B,,720575940612647166,,,,Ach,,,,
,,JO-B_R56,JO-B,,720575940628698371,,,,Ach,,,,
,,JO-B_R57,JO-B,,720575940628957443,,,,Ach,,,,
,,JO-B_R58,JO-B,,720575940621077253,,,,Ach,,,,
,,JO-B_R59,JO-B,,720575940627714310,,,,Ach,,,,
,,JO-B_R60,JO-B,,720575940620422413,,,,Ach,,,,
,,JO-B_R61,JO-B,,720575940631448338,,,,Ach,,,,
,,JO-B_R62,JO-B,,720575940617110306,,,,Ach,,,,
,,JO-B_R63,JO-B,,720575940623562534,,,,Ach,,,,
,,JO-B_R64,JO-B,,720575940623290153,,,,Ach,,,,
,,JO-B_R65,JO-B,,720575940623301417,,,,Ach,,,,
,,JO-B_R66,JO-B,,720575940631470378,,,,Ach,,,,
,,JO-B_R67,JO-B,,720575940630816569,,,,Ach,,,,
,,JO-B_R68,JO-B,,720575940616413509,,,,Ach,,,,
,,JO-B_R69,JO-B,,720575940624116553,,,,Ach,,,,
,,JO-B_R70,JO-B,,720575940617972052,,,,Ach,,,,
,,JO-B_R71,JO-B,,720575940613469545,,,,Ach,,,,
,,JO-B_R72,JO-B,,720575940630785388,,,,Ach,,,,
,,JO-B_R73,JO-B,,720575940620031341,,,,Ach,,,,
,,JO-B_R74,JO-B,,720575940636425584,,,,Ach,,,,
,,JO-B_R75,JO-B,,720575940640130432,,,,Ach,,,,
,,JO-B_R76,JO-B,,720575940632037260,,,,Ach,,,,
,,JO-B_R77,JO-B,,720575940610674581,,,,Ach,,,,
,,JO-B_R78,JO-B,,720575940642897312,,,,Ach,,,,
,,JO-B_R79,JO-B,,720575940643912608,,,,Ach,,,,
,,JO-B_R80,JO-B,,720575940620575653,,,,Ach,,,,
,,JO-B_R81,JO-B,,720575940613924271,,,,Ach,,,,
,,JO-B_R82,JO-B,,720575940635732916,,,,Ach,,,,
,,JO-B_R83,JO-B,,720575940607827392,,,,Ach,,,,
,,JO-B_R84,JO-B,,720575940607881152,,,,Ach,,,,
,,JO-B_R85,JO-B,,720575940607948224,,,,Ach,,,,
,,JO-B_R86,JO-B,,720575940608524224,,,,Ach,,,,
,,JO-B_R87,JO-B,,720575940622593476,,,,Ach,,,,
,,JO-B_R88,JO-B,,720575940627985351,,,,Ach,,,,
,,JO-B_R89,JO-B,,720575940643888584,,,,Ach,,,,
,,JO-B_R90,JO-B,,720575940616859622,,,,Ach,,,,
,,JO-B_R91,JO-B,,720575940617724390,,,,Ach,,,,
,,JO-B_R92,JO-B,,720575940630910971,,,,Ach,,,,
,,JO-B_R93,JO-B,,720575940628896299,,,,Ach,,,,
,,JO-B_R94,JO-B,,720575940616096306,,,,Ach,,,,
,,JO-B_R95,JO-B,,720575940609289284,,,,Ach,,,,
,,JO-B_R96,JO-B,,720575940632315473,,,,Ach,,,,
,,JO-B_R97,JO-B,,720575940635078239,,,,Ach,,,,
,,JO-B_R98,JO-B,,720575940622998115,,,,Ach,,,,
,,JO-B_R99,JO-B,,720575940629766782,,,,Ach,,,,
,,JO-B_R100,JO-B,,720575940612615833,,,,Ach,,,,
,,JO-B_R101,JO-B,,720575940634257564,,,,Ach,,,,
,,JO-B_R102,JO-B,,720575940614644898,,,,Ach,,,,
,,JO-B_R103,JO-B,,720575940620661931,,,,Ach,,,,
,,JO-B_R104,JO-B,,720575940625565368,,,,Ach,,,,
,,JO-B_R105,JO-B,,720575940620458735,,,,Ach,,,,
,,JO-B_R106,JO-B,,720575940629505274,,,,Ach,,,,
,,JO-B_R107,JO-B,,720575940630161152,,,,Ach,,,,
,,JO-B_R108,JO-B,,720575940617845505,,,,Ach,,,,
,,JO-B_R109,JO-B,,720575940622297855,,,,Ach,,,,
,,JO-B_R110,JO-B,,720575940629253376,,,,Ach,,,,
,,JO-B_R111,JO-B,,720575940646362403,,,,Ach,,,,
,,JO-B_R112,JO-B,,720575940630207799,,,,Ach,,,,
,,JO-B_R113,JO-B,,720575940638081855,,,,Ach,,,,
,,JO-B_R114,JO-B,,720575940638556998,,,,Ach,,,,
,,JO-B_R115,JO-B,,720575940617938772,,,,Ach,,,,
,,JO-B_R116,JO-B,,720575940627778393,,,,Ach,,,,
,,JO-B_R117,JO-B,,720575940608483164,,,,Ach,,,,
,,JO-B_R118,JO-B,,720575940626286432,,,,Ach,,,,
,,JO-B_R119,JO-B,,720575940611154786,,,,Ach,,,,
,,JO-B_R120,JO-B,,720575940605622118,,,,Ach,,,,
,,JO-B_R121,JO-B,,720575940620822893,,,,Ach,,,,
,,JO-B_R122,JO-B,,720575940645539694,,,,Ach,,,,
,,JO-B_R123,JO-B,,720575940612029297,,,,Ach,,,,
,,JO-B_R124,JO-B,,720575940635345271,,,,Ach,,,,
,,JO-B_R125,JO-B,,720575940623529875,,,,Ach,,,,
,,JO-B_R126,JO-B,,720575940624510868,,,,Ach,,,,
,,JO-B_R127,JO-B,,720575940604988332,,,,Ach,,,,
,,JO-B_R128,JO-B,,720575940605209521,,,,Ach,,,,
,,JO-B_R129,JO-B,,720575940611000274,,,,Ach,,,,
,,JO-B_R130,JO-B,,720575940636488667,,,,Ach,,,,
,,JO-B_R131,JO-B,,720575940629989879,,,,Ach,,,,
,,JO-B_R132,JO-B,,720575940624067581,,,,Ach,,,,
,,JO-B_R133,JO-B,,720575940613783038,,,,Ach,,,,
,,JO-B_L1,JO-B,,720575940632229457,,,,Ach,,,,
,,JO-B_L2,JO-B,,720575940630925330,,,,Ach,,,,
,,JO-B_L3,JO-B,,720575940627442709,,,,Ach,,,,
,,JO-B_L4,JO-B,,720575940604531229,,,,Ach,,,,
,,JO-B_L5,JO-B,,720575940612409885,,,,Ach,,,,
,,JO-B_L6,JO-B,,720575940609934365,,,,Ach,,,,
,,JO-B_L7,JO-B,,720575940600433181,,,,Ach,,,,
,,JO-B_L8,JO-B,,720575940644057635,,,,Ach,,,,
,,JO-B_L9,JO-B,,720575940639145550,,,,Ach,,,,
,,JO-B_L10,JO-B,,720575940642123917,,,,Ach,,,,
,,JO-B_L11,JO-B,,720575940613127314,,,,Ach,,,,
,,JO-B_L12,JO-B,,720575940632692378,,,,Ach,,,,
,,JO-B_L13,JO-B,,720575940612235439,,,,Ach,,,,
,,JO-B_L14,JO-B,,720575940621508336,,,,Ach,,,,
,,JO-B_L15,JO-B,,720575940625587970,,,,Ach,,,,
,,JO-B_L16,JO-B,,720575940622960422,,,,Ach,,,,
,,JO-B_L17,JO-B,,720575940623745869,,,,Ach,,,,
,,JO-B_L18,JO-B,,720575940630630225,,,,Ach,,,,
,,JO-B_L19,JO-B,,720575940630660951,,,,Ach,,,,
,,JO-B_L20,JO-B,,720575940639049560,,,,Ach,,,,
,,JO-B_L21,JO-B,,720575940634830175,,,,Ach,,,,
,,JO-B_L22,JO-B,,720575940632466784,,,,Ach,,,,
,,JO-B_L23,JO-B,,720575940624594276,,,,Ach,,,,
,,JO-B_L24,JO-B,,720575940639397747,,,,Ach,,,,
,,JO-B_L25,JO-B,,720575940618856896,,,,Ach,,,,
,,JO-B_L26,JO-B,,720575940606619081,,,,Ach,,,,
,,JO-B_L27,JO-B,,720575940637813220,,,,Ach,,,,
,,JO-B_L28,JO-B,,720575940624755180,,,,Ach,,,,
,,JO-B_L29,JO-B,,720575940638636533,,,,Ach,,,,
,,JO-B_L30,JO-B,,720575940629350394,,,,Ach,,,,
,,JO-B_L31,JO-B,,720575940623292925,,,,Ach,,,,
,,JO-B_L32,JO-B,,720575940627304963,,,,Ach,,,,
,,JO-B_L33,JO-B,,720575940627437572,,,,Ach,,,,
,,JO-B_L34,JO-B,,720575940622026757,,,,Ach,,,,
,,JO-B_L35,JO-B,,720575940608112137,,,,Ach,,,,
,,JO-B_L36,JO-B,,720575940616042508,,,,Ach,,,,
,,JO-B_L37,JO-B,,720575940627352595,,,,Ach,,,,
,,JO-B_L38,JO-B,,720575940612446744,,,,Ach,,,,
,,JO-B_L39,JO-B,,720575940622344216,,,,Ach,,,,
,,JO-B_L40,JO-B,,720575940621823514,,,,Ach,,,,
,,JO-B_L41,JO-B,,720575940619572762,,,,Ach,,,,
,,JO-B_L42,JO-B,,720575940617541147,,,,Ach,,,,
,,JO-B_L43,JO-B,,720575940605755424,,,,Ach,,,,
,,JO-B_L44,JO-B,,720575940632129567,,,,Ach,,,,
,,JO-B_L45,JO-B,,720575940629275180,,,,Ach,,,,
,,JO-B_L46,JO-B,,720575940636990005,,,,Ach,,,,
,,JO-B_L47,JO-B,,720575940639745085,,,,Ach,,,,
,,JO-B_L48,JO-B,,720575940637612095,,,,Ach,,,,
,,JO-B_L49,JO-B,,720575940638191679,,,,Ach,,,,
,,JO-B_L50,JO-B,,720575940613776962,,,,Ach,,,,
,,JO-B_L51,JO-B,,720575940631461451,,,,Ach,,,,
,,JO-B_L52,JO-B,,720575940639970392,,,,Ach,,,,
,,JO-B_L53,JO-B,,720575940617517661,,,,Ach,,,,
,,JO-B_L54,JO-B,,720575940634178656,,,,Ach,,,,
,,JO-B_L55,JO-B,,720575940622552163,,,,Ach,,,,
,,JO-B_L56,JO-B,,720575940634892389,,,,Ach,,,,
,,JO-B_L57,JO-B,,720575940615540841,,,,Ach,,,,
,,JO-B_L58,JO-B,,720575940628159081,,,,Ach,,,,
,,JO-B_L59,JO-B,,720575940616653429,,,,Ach,,,,
,,JO-B_L60,JO-B,,720575940629806206,,,,Ach,,,,
,,JO-B_L61,JO-B,,720575940629269630,,,,Ach,,,,
,,JO-B_L62,JO-B,,720575940626726021,,,,Ach,,,,
,,JO-B_L63,JO-B,,720575940642442893,,,,Ach,,,,
,,JO-B_L64,JO-B,,720575940614795410,,,,Ach,,,,
,,JO-B_L65,JO-B,,720575940610341525,,,,Ach,,,,
,,JO-B_L66,JO-B,,720575940634229399,,,,Ach,,,,
,,JO-B_L67,JO-B,,720575940628910235,,,,Ach,,,,
,,JO-B_L68,JO-B,,720575940613956767,,,,Ach,,,,
,,JO-B_L69,JO-B,,720575940620386981,,,,Ach,,,,
,,JO-B_L70,JO-B,,720575940612129962,,,,Ach,,,,
,,JO-B_L71,JO-B,,720575940604054188,,,,Ach,,,,
,,JO-B_L72,JO-B,,720575940605219500,,,,Ach,,,,
,,JO-B_L73,JO-B,,720575940612355763,,,,Ach,,,,
,,JO-B_L74,JO-B,,720575940612419763,,,,Ach,,,,
,,JO-B_L75,JO-B,,720575940623474871,,,,Ach,,,,
,,JO-B_L76,JO-B,,720575940615387846,,,,Ach,,,,
,,JO-B_L77,JO-B,,720575940627927751,,,,Ach,,,,
,,JO-B_L78,JO-B,,720575940606872777,,,,Ach,,,,
,,JO-B_L79,JO-B,,720575940606938313,,,,Ach,,,,
,,JO-B_L80,JO-B,,720575940619941067,,,,Ach,,,,
,,JO-B_L81,JO-B,,720575940619969227,,,,Ach,,,,
,,JO-B_L82,JO-B,,720575940631915219,,,,Ach,,,,
,,JO-B_L83,JO-B,,720575940630467804,,,,Ach,,,,
,,JO-B_L84,JO-B,,720575940635217144,,,,Ach,,,,
,,JO-B_L85,JO-B,,720575940613006590,,,,Ach,,,,
,,JO-B_L86,JO-B,,720575940626693894,,,,Ach,,,,
,,JO-B_L87,JO-B,,720575940622978823,,,,Ach,,,,
,,JO-B_L88,JO-B,,720575940628467462,,,,Ach,,,,
,,JO-B_L89,JO-B,,720575940614205708,,,,Ach,,,,
,,JO-B_L90,JO-B,,720575940645085975,,,,Ach,,,,
,,JO-B_L91,JO-B,,720575940645086999,,,,Ach,,,,
,,JO-B_L92,JO-B,,720575940645087511,,,,Ach,,,,
,,JO-B_L93,JO-B,,720575940620422938,,,,Ach,,,,
,,JO-B_L94,JO-B,,720575940645089559,,,,Ach,,,,
,,JO-B_L95,JO-B,,720575940609527069,,,,Ach,,,,
,,JO-B_L96,JO-B,,720575940612407581,,,,Ach,,,,
,,JO-B_L97,JO-B,,720575940610595118,,,,Ach,,,,
,,JO-B_L98,JO-B,,720575940610621742,,,,Ach,,,,
,,JO-B_L99,JO-B,,720575940625888560,,,,Ach,,,,
,,JO-B_L100,JO-B,,720575940636537663,,,,Ach,,,,
,,JO-B_L101,JO-B,,720575940637630783,,,,Ach,,,,
,,JO-B_L102,JO-B,,720575940619447105,,,,Ach,,,,
,,JO-B_L103,JO-B,,720575940637919551,,,,Ach,,,,
,,JO-B_L104,JO-B,,720575940610028868,,,,Ach,,,,
,,JO-B_L105,JO-B,,720575940626257736,,,,Ach,,,,
,,JO-B_L106,JO-B,,720575940626885960,,,,Ach,,,,
,,JO-B_L107,JO-B,,720575940627839304,,,,Ach,,,,
,,JO-B_L108,JO-B,,720575940628786511,,,,Ach,,,,
,,JO-B_L109,JO-B,,720575940627453778,,,,Ach,,,,
,,JO-B_L110,JO-B,,720575940631794513,,,,Ach,,,,
,,JO-B_L111,JO-B,,720575940616428884,,,,Ach,,,,
,,JO-B_L112,JO-B,,720575940639405912,,,,Ach,,,,
,,JO-B_L113,JO-B,,720575940625049945,,,,Ach,,,,
,,JO-B_L114,JO-B,,720575940615860061,,,,Ach,,,,
,,JO-B_L115,JO-B,,720575940621513566,,,,Ach,,,,
,,JO-B_L116,JO-B,,720575940621120353,,,,Ach,,,,
,,JO-B_L117,JO-B,,720575940635237727,,,,Ach,,,,
,,JO-B_L118,JO-B,,720575940635973989,,,,Ach,,,,
,,JO-B_L119,JO-B,,720575940631699816,,,,Ach,,,,
,,JO-B_L120,JO-B,,720575940630461804,,,,Ach,,,,
,,JO-B_L121,JO-B,,720575940643418990,,,,Ach,,,,
,,JO-B_L122,JO-B,,720575940641396078,,,,Ach,,,,
,,JO-B_L123,JO-B,,720575940629492727,,,,Ach,,,,
,,JO-B_L124,JO-B,,720575940613934965,,,,Ach,,,,
,,JO-B_L125,JO-B,,720575940629105022,,,,Ach,,,,
,,JO-B_L126,JO-B,,720575940629804414,,,,Ach,,,,
,,JO-B_L127,JO-B,,720575940639649152,,,,Ach,,,,
,,JO-B_L128,JO-B,,720575940639826304,,,,Ach,,,,
,,JO-B_L129,JO-B,,720575940607088514,,,,Ach,,,,
,,JO-B_L130,JO-B,,720575940623146378,,,,Ach,,,,
,,JO-B_L131,JO-B,,720575940642414989,,,,Ach,,,,
,,JO-B_L132,JO-B,,720575940627249039,,,,Ach,,,,
,,JO-B_L133,JO-B,,720575940625624464,,,,Ach,,,,
,,JO-B_L134,JO-B,,720575940625972624,,,,Ach,,,,
,,JO-B_L135,JO-B,,720575940634781594,,,,Ach,,,,
,,JO-B_L136,JO-B,,720575940614847906,,,,Ach,,,,
,,JO-B_L137,JO-B,,720575940622342569,,,,Ach,,,,
,,JO-B_L138,JO-B,,720575940604805036,,,,Ach,,,,
,,JO-B_L139,JO-B,,720575940605238188,,,,Ach,,,,
,,JO-B_L140,JO-B,,720575940612418483,,,,Ach,,,,
,,JO-B_L141,JO-B,,720575940615222201,,,,Ach,,,,
,,JO-B_L142,JO-B,,720575940624562618,,,,Ach,,,,
,,JO-B_L143,JO-B,,720575940604274622,,,,Ach,,,,
,,JO-B_L144,JO-B,,720575940620622785,,,,Ach,,,,
,,JO-B_L145,JO-B,,720575940643791304,,,,Ach,,,,
,,JO-B_L146,JO-B,,720575940606871497,,,,Ach,,,,
,,JO-B_L147,JO-B,,720575940619940811,,,,Ach,,,,
,,JO-B_L148,JO-B,,720575940609816014,,,,Ach,,,,
,,JO-B_L149,JO-B,,720575940610739666,,,,Ach,,,,
,,JO-B_L150,JO-B,,720575940611392986,,,,Ach,,,,
,,JO-B_L151,JO-B,,720575940640169947,,,,Ach,,,,
,,JO-B_L152,JO-B,,720575940630462940,,,,Ach,,,,
,,JO-B_L153,JO-B,,720575940620516846,,,,Ach,,,,
,,JO-B_L154,JO-B,,720575940628543473,,,,Ach,,,,
,,JO-B_L155,JO-B,,720575940630117879,,,,Ach,,,,
,,JO-B_L156,JO-B,,720575940630269945,,,,Ach,,,,
,,JO-B_L157,JO-B,,720575940630820347,,,,Ach,,,,
,,JO-B_L158,JO-B,,720575940621722111,,,,Ach,,,,
,,JO-B_L159,JO-B,,720575940639803453,,,,Ach,,,,
,,JO-B_L160,JO-B,,720575940637919295,,,,Ach,,,,
,,JO-B_L161,JO-B,,720575940634775706,,,,Ach,,,,
,,JO-B_L162,JO-B,,720575940631670584,,,,Ach,,,,
,,JO-B_L163,JO-B,,720575940617244049,,,,Ach,,,,
,,JO-B_L164,JO-B,,720575940617407929,,,,Ach,,,,
,,JO-B_L165,JO-B,,720575940620257216,,,,Ach,,,,
,,JO-B_L166,JO-B,,720575940614805983,,,,Ach,,,,
