Source,Target,total_synapses,n_postsyn_neurons,Weight
AVLP_pr02,pC2la,23,2,11.5
SAD_pr01,B1-4,22,2,11.0
B1-2,A1,22,1,22.0
B1-u,B1-7,22,2,11.0
AVLP_pr05-3,AVLP_pr18-1,21,2,10.5
pcC2lc,pC1d,21,2,10.5
B1-6,B1-4,20,1,20.0
IPS_pr02,B1-4,20,1,20.0
AVLP_pr01-1,WED_pr02,19,1,19.0
AVLP_pr05-1,SAD_pr02,18,1,18.0
B1-5,AVLP/PVLP_pr01-2,17,1,17.0
WED_pr02,WED_pr01-1,17,1,17.0
aPN2,B1-4,16,1,16.0
B1-5,WED_pr01-2,15,1,15.0
B1-5,SAD_pr01,15,1,15.0
pC2lc,pMN1,14,1,14.0
B1-6,B1-7,13,1,13.0
WED_pr02,B1-6,13,1,13.0
vpoIN-2,pC1e,13,1,13.0
GNG_pr01-1,GF,13,1,13.0
A1,AVLP_pr23,13,1,13.0
JO-B,WV-WV-4,13,1,13.0
AVLP_pr01-2,pC2lb,13,1,13.0
IPS_pr02,B1-7,12,1,12.0
B1-2,B1-3,12,1,12.0
B1-4,B1-3,11,1,11.0
AVLP_pr36/asp10a-1,AVLP_pr04,11,1,11.0
